Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
105,2013,Vonta Leach (FA),11,23,2.1,6,0,0,11,19,47,4.3,1,0,16,13.0,0.8,0.0%
93,2012,Vonta Leach (FA),9,32,3.6,6,0,1,21,24,143,6.8,0,0,16,23.5,1.5,0.0%
113,2011,Vonta Leach (FA),12,35,2.9,6,0,0,15,27,69,4.6,0,0,16,10.4,0.7,0.0%
113,2010,Vonta Leach (FA),0,0,0,0,0,0,8,15,91,11.4,0,0,16,9.1,0.6,0.0%
85,2009,Vonta Leach (FA),0,0,0,0,0,0,20,26,155,7.8,1,0,16,21.5,1.3,0.0%
89,2008,Vonta Leach (FA),1,1,1.0,1,0,1,12,1,103,8.6,0,0,16,16.4,1.0,0.0%
64,2007,Vonta Leach (FA),2,2,1.0,1,0,1,25,9,108,4.3,2,0,16,29.0,1.8,0.0%
102,2006,Vonta Leach (FA),0,0,0,0,0,0,6,0,61,10.2,1,0,11,12.1,1.1,0.0%
144,2005,Vonta Leach (FA),0,0,0,0,0,0,5,0,19,3.8,0,0,16,1.9,0.1,0.0%
176,2004,Vonta Leach (FA),0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
