Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
68,2014,Jordan Palmer (FA),1,3,33.3,7,2.3,0,0,0,1,-1,0,0,1,0.2,0.2,0.0%
72,2010,Jordan Palmer (FA),3,3,100.0,18,6.0,0,0,2,0,0,0,0,1,0.7,0.7,0.0%
74,2008,Jordan Palmer (FA),7,12,58.3,41,3.4,0,2,2,1,4,0,0,3,-2.0,-0.7,0.0%
