Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
21,2021,Ben Roethlisberger (FA),390,605,64.5,"3,740",6.2,22,10,38,20,5,1,5,16,228.0,14.3,13.6%
14,2020,Ben Roethlisberger (FA),399,608,65.6,"3,803",6.3,33,10,13,25,11,0,1,15,277.2,18.5,13.6%
53,2019,Ben Roethlisberger (FA),35,62,56.5,351,5.7,0,1,2,1,7,0,0,2,13.7,6.9,13.6%
3,2018,Ben Roethlisberger (FA),452,675,67.0,"5,129",7.6,34,16,24,31,98,3,2,16,341.0,21.3,13.6%
11,2017,Ben Roethlisberger (FA),360,561,64.2,"4,251",7.6,28,14,21,28,47,0,1,15,260.6,17.4,13.6%
18,2016,Ben Roethlisberger (FA),328,509,64.4,"3,819",7.5,29,13,17,16,14,1,2,14,252.3,18.0,13.6%
20,2015,Ben Roethlisberger (FA),319,469,68.0,"3,938",8.4,21,16,20,15,29,0,0,12,228.3,19.0,13.6%
5,2014,Ben Roethlisberger (FA),408,608,67.1,"4,952",8.1,32,9,33,33,27,0,5,16,306.2,19.1,13.6%
12,2013,Ben Roethlisberger (FA),375,584,64.2,"4,261",7.3,28,14,42,27,99,1,6,16,258.9,16.2,13.6%
18,2012,Ben Roethlisberger (FA),284,449,63.3,"3,265",7.3,26,8,30,26,92,0,3,13,223.9,17.2,13.6%
13,2011,Ben Roethlisberger (FA),324,513,63.2,"4,077",7.9,21,14,40,31,70,0,5,15,215.9,14.4,13.6%
17,2010,Ben Roethlisberger (FA),240,389,61.7,"3,200",8.2,17,5,32,34,176,2,3,12,209.6,17.5,13.6%
9,2009,Ben Roethlisberger (FA),337,506,66.6,"4,328",8.6,26,12,50,40,82,2,3,15,267.2,17.8,13.6%
13,2008,Ben Roethlisberger (FA),281,469,59.9,"3,301",7.0,17,15,46,34,101,2,0,16,191.5,12.0,13.6%
5,2007,Ben Roethlisberger (FA),264,404,65.3,"3,154",7.8,32,11,47,35,204,2,0,15,264.6,17.6,13.6%
14,2006,Ben Roethlisberger (FA),280,469,59.7,"3,513",7.5,18,23,46,32,98,2,0,15,188.2,12.5,13.6%
19,2005,Ben Roethlisberger (FA),168,268,62.7,"2,385",8.9,17,9,23,31,69,3,0,12,170.2,14.2,13.6%
20,2004,Ben Roethlisberger (FA),196,295,66.4,"2,621",8.9,17,11,30,56,144,1,2,14,167.0,11.9,13.6%
