Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
35,2017,Nick Novak (FA),9,13,69.2,50,0,4,4,0,1,17,18,7,46.0,6.6,0.1%
9,2016,Nick Novak (FA),35,41,85.4,53,1,12,11,8,3,22,25,16,141.0,8.8,0.1%
27,2015,Nick Novak (FA),18,21,85.7,51,0,6,6,4,2,29,31,13,91.0,7.0,0.1%
22,2014,Nick Novak (FA),22,26,84.6,52,1,6,8,4,3,40,40,16,116.0,7.3,0.1%
8,2013,Nick Novak (FA),34,37,91.9,50,1,9,13,9,2,42,42,16,157.0,9.8,0.1%
30,2012,Nick Novak (FA),18,20,90.0,51,1,5,6,4,2,33,33,13,95.0,7.3,0.1%
9,2011,Nick Novak (FA),27,34,79.4,53,0,11,4,8,4,41,41,15,138.0,9.2,0.1%
37,2008,Nick Novak (FA),6,10,60.0,43,0,0,0,0,0,1,1,6,1.0,0.2,0.1%
34,2006,Nick Novak (FA),5,10,50.0,47,0,0,0,0,0,10,10,6,10.0,1.7,0.1%
33,2005,Nick Novak (FA),8,10,80.0,40,0,0,0,0,0,15,15,8,15.0,1.9,0.1%
