Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
240,2021,Nick Bellore (SEA),0,0,0,0,0,0,1,1,4,4.0,0,0,10,0.0,0.0,0.1%
176,2020,Nick Bellore (SEA),1,5,5.0,5,0,0,1,1,9,9.0,0,0,16,0.0,0.0,0.1%
162,2019,Nick Bellore (SEA),0,0,0,0,0,0,2,2,23,11.5,1,0,14,0.0,0.0,0.1%
155,2018,Nick Bellore (SEA),1,0,0.0,0,0,0,4,4,15,3.8,0,0,14,0.0,0.0,0.1%
156,2017,Nick Bellore (SEA),0,0,0,0,0,0,1,1,1,1.0,1,0,13,0.0,0.0,0.1%
168,2016,Nick Bellore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.1%
164,2015,Nick Bellore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
165,2014,Nick Bellore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
173,2013,Nick Bellore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
173,2012,Nick Bellore (SEA),0,0,0,0,0,0,1,1,23,23.0,0,0,16,0.0,0.0,0.1%
171,2011,Nick Bellore (SEA),0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.1%
