Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
72,2014,Bruce Gradkowski (FA),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0%
54,2012,Bruce Gradkowski (FA),5,11,45.5,65,5.9,0,0,0,4,-2,0,0,2,2.4,1.2,0.0%
55,2011,Bruce Gradkowski (FA),8,18,44.4,109,6.1,1,1,1,3,1,0,0,2,6.5,3.3,0.0%
40,2010,Bruce Gradkowski (FA),83,157,52.9,"1,059",6.7,5,7,10,12,41,0,1,6,50.5,8.4,0.0%
34,2009,Bruce Gradkowski (FA),82,150,54.7,"1,007",6.7,6,3,11,18,108,0,3,7,63.1,9.0,0.0%
76,2008,Bruce Gradkowski (FA),7,21,33.3,26,1.2,0,3,4,1,2,0,0,2,-4.8,-2.4,0.0%
61,2007,Bruce Gradkowski (FA),13,24,54.2,130,5.4,0,1,2,7,20,0,0,4,5.2,1.3,0.0%
31,2006,Bruce Gradkowski (FA),177,328,54.0,"1,661",5.1,9,9,25,41,161,0,0,13,100.6,7.7,0.0%
