Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
146,2013,Mario Manningham (FA),9,23,85,9.4,14,0,0,0,0,0,0,6,8.5,1.4,0.0%
77,2012,Mario Manningham (FA),42,57,449,10.7,40,6,1,3,64,0,1,12,55.3,4.6,0.0%
59,2011,Mario Manningham (FA),39,77,523,13.4,47,0,4,0,0,0,0,12,76.3,6.4,0.0%
17,2010,Mario Manningham (FA),60,92,944,15.7,92,0,9,1,2,0,1,16,146.6,9.2,0.0%
29,2009,Mario Manningham (FA),57,99,822,14.4,49,0,5,0,0,0,1,14,110.2,7.9,0.0%
148,2008,Mario Manningham (FA),4,0,26,6.5,11,0,0,1,-12,0,0,7,1.4,0.2,0.0%
