Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
113,2012,Braylon Edwards (FA),18,35,199,11.1,19,0,1,0,0,0,0,13,25.9,2.0,0.0%
124,2011,Braylon Edwards (FA),15,34,181,12.1,24,0,0,0,0,0,0,9,18.1,2.0,0.0%
21,2010,Braylon Edwards (FA),53,101,904,17.1,74,0,7,1,4,0,1,16,132.8,8.3,0.0%
43,2009,Braylon Edwards (FA),45,95,680,15.1,65,0,4,0,0,0,1,16,92.0,5.8,0.0%
27,2008,Braylon Edwards (FA),55,11,873,15.9,70,0,3,0,0,0,0,16,109.3,6.8,0.0%
1,2007,Braylon Edwards (FA),80,20,"1,289",16.1,78,0,16,0,0,0,1,16,222.9,13.9,0.0%
26,2006,Braylon Edwards (FA),61,0,884,14.5,75,0,6,3,7,0,0,16,125.1,7.8,0.0%
57,2005,Braylon Edwards (FA),32,0,512,16.0,80,0,3,0,0,0,0,10,69.2,6.9,0.0%
