Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
34,2019,Matt Bryant (FA),9,14,64.3,52,0,1,3,3,2,14,15,8,48.0,6.0,1.1%
19,2018,Matt Bryant (FA),20,21,95.2,57,0,4,5,7,4,33,35,13,108.0,8.3,1.1%
4,2017,Matt Bryant (FA),34,39,87.2,57,1,6,10,9,8,35,35,16,162.0,10.1,1.1%
1,2016,Matt Bryant (FA),34,37,91.9,59,0,12,7,9,6,56,57,16,179.0,11.2,1.1%
31,2015,Matt Bryant (FA),14,18,77.8,47,1,4,3,6,0,26,26,10,74.0,7.4,1.1%
6,2014,Matt Bryant (FA),29,32,90.6,54,0,10,4,8,7,40,40,16,149.0,9.3,1.1%
22,2013,Matt Bryant (FA),24,27,88.9,53,0,9,7,5,3,39,39,16,122.0,7.6,1.1%
3,2012,Matt Bryant (FA),33,38,86.8,55,1,8,10,10,4,44,44,16,161.0,10.1,1.1%
10,2011,Matt Bryant (FA),27,29,93.1,51,2,9,9,5,2,45,45,16,135.0,8.4,1.1%
3,2010,Matt Bryant (FA),28,31,90.3,51,0,7,7,5,1,44,44,16,111.0,6.9,1.1%
36,2009,Matt Bryant (FA),7,10,70.0,51,0,0,0,0,0,10,10,5,10.0,2.0,1.1%
23,2008,Matt Bryant (FA),32,38,84.2,49,0,0,0,0,0,24,24,16,24.0,1.5,1.1%
16,2007,Matt Bryant (FA),28,33,84.8,49,0,0,0,0,0,17,17,16,17.0,1.1,1.1%
30,2006,Matt Bryant (FA),17,22,77.3,62,0,0,0,0,0,22,22,16,22.0,1.4,1.1%
16,2005,Matt Bryant (FA),21,25,84.0,50,0,0,0,0,0,31,31,15,31.0,2.1,1.1%
34,2004,Matt Bryant (FA),3,4,75.0,47,0,0,0,0,0,12,12,4,12.0,3.0,1.1%
31,2003,Matt Bryant (FA),11,14,78.6,47,0,0,0,0,0,17,17,11,17.0,1.5,1.1%
24,2002,Matt Bryant (FA),26,32,81.3,47,0,0,0,0,0,30,32,16,30.0,1.9,1.1%
