Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
130,2005,Michael Cloud (FA),24,59,2.5,15,0,0,0,0,0,0,0,0,6,5.9,1.0,0.0%
83,2004,Michael Cloud (FA),21,90,4.3,26,0,3,1,1,3,3.0,0,0,7,27.3,3.9,0.0%
69,2003,Michael Cloud (FA),27,118,4.4,42,0,5,1,2,8,8.0,0,0,5,42.6,8.5,0.0%
79,2002,Michael Cloud (FA),49,115,2.3,9,0,2,6,9,48,8.0,0,0,12,28.3,2.4,0.0%
