Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
21,2015,Owen Daniels (FA),46,77,517,11.2,37,6,3,0,0,0,0,16,69.7,4.4,0.0%
17,2014,Owen Daniels (FA),48,79,527,11.0,39,5,4,0,0,0,0,15,76.7,5.1,0.0%
38,2013,Owen Daniels (FA),24,41,252,10.5,28,3,3,0,0,0,0,5,43.2,8.6,0.0%
8,2012,Owen Daniels (FA),62,104,716,11.5,39,7,6,0,0,0,0,15,107.6,7.2,0.0%
17,2011,Owen Daniels (FA),54,85,677,12.5,34,0,3,0,0,0,0,15,85.7,5.7,0.0%
27,2010,Owen Daniels (FA),38,68,471,12.4,31,0,2,0,0,0,0,11,59.1,5.4,0.0%
17,2009,Owen Daniels (FA),40,58,519,13.0,44,0,5,0,0,0,0,8,81.9,10.2,0.0%
5,2008,Owen Daniels (FA),70,11,862,12.3,35,0,2,0,0,0,0,16,98.2,6.1,0.0%
7,2007,Owen Daniels (FA),63,13,768,12.2,29,0,3,0,0,0,1,16,92.8,5.8,0.0%
14,2006,Owen Daniels (FA),34,0,352,10.4,33,0,5,0,0,0,0,14,65.2,4.7,0.0%
