Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
43,2017,Matt Forte (FA),103,381,3.7,20,1,2,37,45,293,7.9,1,1,12,83.4,7.0,19.1%
21,2016,Matt Forte (FA),218,813,3.7,32,5,7,30,43,263,8.8,1,1,14,153.6,11.0,19.1%
9,2015,Matt Forte (FA),218,898,4.1,27,4,4,44,58,389,8.8,3,1,13,170.7,13.1,19.1%
4,2014,Matt Forte (FA),266,"1,038",3.9,32,1,6,102,130,808,7.9,4,2,16,244.6,15.3,19.1%
3,2013,Matt Forte (FA),289,"1,339",4.6,55,9,9,74,94,594,8.0,3,2,16,263.3,16.5,19.1%
12,2012,Matt Forte (FA),248,"1,094",4.4,46,6,5,44,60,340,7.7,1,1,15,177.4,11.8,19.1%
15,2011,Matt Forte (FA),203,997,4.9,46,0,3,52,76,490,9.4,1,2,12,168.7,14.1,19.1%
9,2010,Matt Forte (FA),237,"1,069",4.5,68,0,6,51,70,547,10.7,3,2,16,213.6,13.4,19.1%
18,2009,Matt Forte (FA),258,929,3.6,61,0,4,57,72,471,8.3,0,3,16,160.0,10.0,19.1%
3,2008,Matt Forte (FA),316,"1,238",3.9,50,0,8,63,16,477,7.6,4,0,16,243.5,15.2,19.1%
