Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
135,2016,Vincent Jackson (FA),15,32,173,11.5,18,0,0,0,0,0,0,5,17.3,3.5,0.0%
61,2015,Vincent Jackson (FA),33,62,543,16.5,36,13,3,0,0,0,0,10,74.3,7.4,0.0%
39,2014,Vincent Jackson (FA),70,142,"1,002",14.3,50,12,2,0,0,0,1,16,110.2,6.9,0.0%
14,2013,Vincent Jackson (FA),78,160,"1,224",15.7,60,19,7,1,0,0,0,16,164.4,10.3,0.0%
6,2012,Vincent Jackson (FA),72,147,"1,384",19.2,95,24,8,0,0,0,0,16,188.4,11.8,0.0%
10,2011,Vincent Jackson (FA),60,115,"1,106",18.4,58,0,9,3,51,0,0,16,169.7,10.6,0.0%
88,2010,Vincent Jackson (FA),14,24,248,17.7,58,0,3,1,14,0,0,5,44.2,8.8,0.0%
10,2009,Vincent Jackson (FA),68,108,"1,167",17.2,55,0,9,3,11,0,0,15,171.8,11.5,0.0%
9,2008,Vincent Jackson (FA),59,4,"1,098",18.6,60,0,7,4,69,0,0,16,158.7,9.9,0.0%
31,2007,Vincent Jackson (FA),41,13,623,15.2,45,0,3,0,0,0,0,16,80.3,5.0,0.0%
52,2006,Vincent Jackson (FA),27,0,453,16.8,55,0,6,3,16,0,0,16,82.9,5.2,0.0%
142,2005,Vincent Jackson (FA),3,3,59,19.7,21,0,0,0,0,0,0,8,5.9,0.7,0.0%
