Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
33,2015,Johnny Manziel (FA),129,223,57.8,"1,500",6.7,7,5,19,37,230,0,3,9,95.0,10.6,0.1%
54,2014,Johnny Manziel (FA),18,35,51.4,175,5.0,0,2,3,9,29,1,0,5,11.9,2.4,0.1%
