Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
69,2004,Jed Weaver (FA),8,12,93,11.6,25,0,0,0,0,0,0,5,9.3,1.9,0.0%
19,2003,Jed Weaver (FA),35,53,437,12.5,30,0,1,0,0,0,0,16,49.7,3.1,0.0%
39,2002,Jed Weaver (FA),6,9,75,12.5,25,0,3,0,0,0,0,11,25.5,2.3,0.0%
