Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
34,2008,Martin Gramatica (FA),2,4,50.0,53,0,0,0,0,0,3,3,1,3.0,3.0,0.0%
29,2006,Martin Gramatica (FA),7,9,77.8,48,0,0,0,0,0,23,23,8,23.0,2.9,0.0%
28,2004,Martin Gramatica (FA),11,19,57.9,53,0,0,0,0,0,21,22,15,21.0,1.4,0.0%
16,2003,Martin Gramatica (FA),16,26,61.5,50,0,0,0,0,0,33,33,16,33.0,2.1,0.0%
21,2002,Martin Gramatica (FA),32,39,82.1,53,0,0,0,0,0,32,32,16,32.0,2.0,0.0%
