Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
130,2019,Kelvin Benjamin (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
122,2018,Kelvin Benjamin (FA),25,67,380,15.2,40,11,1,0,0,0,0,15,0.0,0.0,0.1%
112,2017,Kelvin Benjamin (FA),48,78,692,14.4,43,10,3,0,0,0,0,14,0.0,0.0,0.1%
116,2016,Kelvin Benjamin (FA),63,118,941,14.9,50,10,7,0,0,0,1,16,0.0,0.0,0.1%
110,2014,Kelvin Benjamin (FA),73,145,"1,008",13.8,51,14,9,0,0,0,1,16,0.0,0.0,0.1%
