Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
112,2011,Sammy Morris (FA),28,98,3.5,15,0,0,5,7,13,2.6,0,0,3,11.1,3.7,0.0%
102,2010,Sammy Morris (FA),20,56,2.8,9,0,0,7,12,77,11.0,0,1,16,11.3,0.7,0.0%
58,2009,Sammy Morris (FA),73,319,4.4,55,0,2,19,27,180,9.5,0,1,12,59.9,5.0,0.0%
34,2008,Sammy Morris (FA),129,647,5.0,35,0,5,9,2,120,13.3,0,0,10,106.7,10.7,0.0%
33,2007,Sammy Morris (FA),85,384,4.5,49,0,3,6,0,35,5.8,0,0,6,59.9,10.0,0.0%
55,2006,Sammy Morris (FA),92,400,4.3,55,0,1,21,0,162,7.7,0,0,12,62.2,5.2,0.0%
95,2005,Sammy Morris (FA),16,58,3.6,9,0,1,8,0,54,6.8,0,0,13,17.2,1.3,0.0%
33,2004,Sammy Morris (FA),132,523,4.0,35,0,6,22,28,124,5.6,0,0,13,100.7,7.7,0.0%
91,2003,Sammy Morris (FA),19,70,3.7,12,0,1,14,17,100,7.1,0,0,9,23.0,2.6,0.0%
123,2002,Sammy Morris (FA),2,5,2.5,5,0,0,3,4,48,16.0,0,0,15,5.3,0.4,0.0%
