Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
68,2005,Jeff Blake (FA),8,9,88.9,55,6.1,1,0,0,1,-1,0,0,2,6.1,3.1,0.0%
60,2004,Jeff Blake (FA),18,37,48.6,126,3.4,1,1,2,3,6,0,1,3,5.6,1.9,0.0%
21,2003,Jeff Blake (FA),208,367,56.7,"2,247",6.1,13,15,19,30,177,2,4,13,135.5,10.4,0.0%
27,2002,Jeff Blake (FA),165,295,55.9,"2,084",7.1,13,11,30,39,106,1,4,10,123.9,12.4,0.0%
