Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
66,2021,Chad Henne (KC),11,16,68.8,82,5.1,0,0,0,8,0,0,0,4,3.3,0.8,0.1%
48,2020,Chad Henne (KC),28,38,73.7,248,6.5,2,0,2,7,-2,1,0,3,23.7,7.9,0.1%
71,2019,Chad Henne (KC),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
60,2018,Chad Henne (KC),2,3,66.7,29,9.7,0,0,0,1,3,0,0,1,1.5,1.5,0.1%
72,2017,Chad Henne (KC),0,2,0.0,0,0.0,0,0,0,5,-5,0,0,2,-0.5,-0.3,0.1%
69,2016,Chad Henne (KC),0,0,0,0,0,0,0,0,1,-2,0,0,1,-0.2,-0.2,0.1%
44,2014,Chad Henne (KC),42,78,53.8,492,6.3,3,1,16,4,25,0,1,3,30.1,10.0,0.1%
25,2013,Chad Henne (KC),305,503,60.6,"3,241",6.4,13,14,38,27,77,0,0,15,161.3,10.8,0.1%
31,2012,Chad Henne (KC),166,308,53.9,"2,084",6.8,11,11,28,19,64,1,2,10,113.0,11.3,0.1%
36,2011,Chad Henne (KC),64,112,57.1,868,7.8,4,4,11,15,112,1,0,4,59.9,15.0,0.1%
25,2010,Chad Henne (KC),301,490,61.4,"3,301",6.7,15,19,30,35,52,0,2,15,155.2,10.3,0.1%
23,2009,Chad Henne (KC),274,451,60.8,"2,878",6.4,12,14,26,16,32,1,0,14,144.4,10.3,0.1%
58,2008,Chad Henne (KC),7,12,58.3,67,5.6,0,0,0,0,0,0,0,3,2.7,0.9,0.1%
