Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
110,2015,Anthony Dixon (FA),21,44,2.1,6,0,1,6,7,44,7.3,0,0,16,14.8,0.9,0.0%
57,2014,Anthony Dixon (FA),105,432,4.1,47,3,2,8,9,49,6.1,0,0,16,60.1,3.8,0.0%
91,2013,Anthony Dixon (FA),28,56,2.0,9,0,2,3,3,30,10.0,0,0,16,20.6,1.3,0.0%
99,2012,Anthony Dixon (FA),21,78,3.7,9,0,2,0,0,0,0,0,0,16,19.8,1.2,0.0%
93,2011,Anthony Dixon (FA),29,87,3.0,9,0,2,1,1,6,6.0,0,0,16,21.3,1.3,0.0%
73,2010,Anthony Dixon (FA),70,237,3.4,34,0,2,5,5,11,2.2,0,0,16,36.8,2.3,0.0%
