Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
15,2005,Paul Edinger (FA),25,34,73.5,56,0,0,0,0,0,31,31,15,31.0,2.1,0.0%
30,2004,Paul Edinger (FA),15,24,62.5,53,0,0,0,0,0,22,22,16,20.0,1.3,0.0%
23,2003,Paul Edinger (FA),26,36,72.2,54,0,0,0,0,0,27,27,16,27.0,1.7,0.0%
26,2002,Paul Edinger (FA),22,28,78.6,53,0,0,0,0,0,29,29,16,29.0,1.8,0.0%
