Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
190,2021,Sewo Olonilua (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
168,2020,Sewo Olonilua (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
