Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
38,2020,Dwayne Haskins (FA),148,241,61.4,"1,439",6.0,5,7,20,20,46,1,3,7,75.2,10.7,0.1%
35,2019,Dwayne Haskins (FA),119,203,58.6,"1,365",6.7,7,7,29,20,101,0,2,9,83.7,9.3,0.1%
