Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
15,2021,Jared Cook (FA),48,83,564,11.8,42,9,4,0,0,0,0,16,84.4,5.3,0.1%
12,2020,Jared Cook (FA),37,60,504,13.6,46,12,7,0,0,0,1,15,90.4,6.0,0.1%
6,2019,Jared Cook (FA),43,65,705,16.4,61,23,9,0,0,0,0,14,124.5,8.9,0.1%
5,2018,Jared Cook (FA),68,101,896,13.2,45,21,6,0,0,0,0,16,125.6,7.9,0.1%
14,2017,Jared Cook (FA),54,86,688,12.7,35,10,2,0,0,0,1,16,78.8,4.9,0.1%
36,2016,Jared Cook (FA),30,51,377,12.6,47,6,1,0,0,0,1,10,41.7,4.2,0.1%
34,2015,Jared Cook (FA),39,75,481,12.3,49,7,0,0,0,0,1,16,48.1,3.0,0.1%
15,2014,Jared Cook (FA),52,99,634,12.2,59,7,3,1,0,0,0,16,81.4,5.1,0.1%
11,2013,Jared Cook (FA),51,86,671,13.2,47,9,5,0,0,0,1,16,95.1,5.9,0.1%
20,2012,Jared Cook (FA),44,72,523,11.9,61,8,4,0,0,0,1,13,74.3,5.7,0.1%
16,2011,Jared Cook (FA),49,81,759,15.5,80,0,3,0,0,0,2,16,89.9,5.6,0.1%
33,2010,Jared Cook (FA),29,45,361,12.4,36,0,1,0,0,0,0,16,42.1,2.6,0.1%
72,2009,Jared Cook (FA),9,15,74,8.2,17,0,0,0,0,0,0,14,7.4,0.5,0.1%
