Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
243,2019,Brandon Tate (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
212,2018,Brandon Tate (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
134,2017,Brandon Tate (FA),6,14,81,13.5,24,2,1,0,0,0,0,13,14.1,1.1,0.0%
136,2016,Brandon Tate (FA),8,11,117,14.6,34,2,0,3,48,0,0,15,16.5,1.1,0.0%
150,2015,Brandon Tate (FA),2,3,59,29.5,55,1,1,0,0,0,0,16,11.9,0.7,0.0%
114,2014,Brandon Tate (FA),17,26,193,11.4,50,1,1,3,21,0,1,16,25.4,1.6,0.0%
182,2013,Brandon Tate (FA),1,2,6,6.0,6,0,0,0,0,0,0,16,0.6,0.0,0.0%
118,2012,Brandon Tate (FA),13,25,211,16.2,44,5,1,1,0,0,1,16,25.1,1.6,0.0%
206,2011,Brandon Tate (FA),0,0,0,0,0,0,0,0,0,0,1,16,-2.0,-0.1,0.0%
69,2010,Brandon Tate (FA),24,46,432,18.0,65,0,3,5,62,0,1,16,65.4,4.1,0.0%
147,2009,Brandon Tate (FA),0,2,0,0,0,0,0,1,11,0,0,2,1.1,0.6,0.0%
