Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
256,2008,Stuart Schweigert (FA),1,0,0,1,0,0,0,0,6,3.0,0.5,0.0%
103,2007,Stuart Schweigert (FA),28,10,0,2,1,0,0,0,8,57.6,7.2,0.0%
33,2006,Stuart Schweigert (FA),79,21,0,4,0,0,1,0,16,144.6,9.0,0.0%
34,2005,Stuart Schweigert (FA),61,14,0,9,2,2,3,0,16,145.8,9.1,0.0%
151,2004,Stuart Schweigert (FA),29,7,0,3,0,0,0,0,16,53.5,3.3,0.0%
