Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
80,2021,Levi Wallace (PIT),47,11,0,10,2,0,1,0,17,110.5,6.5,1.0%
122,2020,Levi Wallace (PIT),34,14,0,8,2,0,0,0,12,86.2,7.2,1.0%
30,2019,Levi Wallace (PIT),66,10,0,9,2,0,0,0,16,140.4,8.8,1.0%
181,2018,Levi Wallace (PIT),24,13,0,3,0,0,0,0,7,53.0,7.6,1.0%
