Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
409,2021,Lamar Jackson (CHI),0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%
205,2020,Lamar Jackson (CHI),26,1,0,2,0,0,0,0,13,45.3,3.5,0.2%
