Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
239,2009,Jermaine Phillips (FA),6,5,0,0,0,0,0,0,2,12.8,6.4,0.0%
96,2008,Jermaine Phillips (FA),34,9,0,5,3,1,0,0,7,89.4,12.8,0.0%
44,2007,Jermaine Phillips (FA),42,10,1,5,3,0,0,0,9,97.1,10.8,0.0%
8,2006,Jermaine Phillips (FA),83,19,1,9,2,3,1,0,16,182.7,11.4,0.0%
108,2005,Jermaine Phillips (FA),45,14,0,3,0,0,0,0,13,82.9,6.4,0.0%
119,2004,Jermaine Phillips (FA),31,11,1,4,1,0,0,0,8,77.5,9.7,0.0%
126,2003,Jermaine Phillips (FA),30,9,0,2,1,1,1,0,13,73.0,5.6,0.0%
239,2002,Jermaine Phillips (FA),0,1,0,0,0,0,1,0,9,4.8,0.5,0.0%
