Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
408,2020,Eric Smith (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
401,2019,Eric Smith (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
191,2012,Eric Smith (FA),11,4,0,4,1,0,1,0,9,37.2,4.1,0.0%
36,2011,Eric Smith (FA),60,23,2.5,4,1,0,1,0,16,145.0,9.1,0.0%
149,2010,Eric Smith (FA),35,9,1,2,0,0,0,0,12,69.0,5.8,0.0%
143,2009,Eric Smith (FA),27,6,0,6,1,0,0,0,16,69.2,4.3,0.0%
201,2008,Eric Smith (FA),6,5,0,2,0,0,1,0,4,19.8,5.0,0.0%
187,2007,Eric Smith (FA),5,6,0,2,0,0,0,0,6,15.1,2.5,0.0%
172,2006,Eric Smith (FA),11,5,0,2,2,0,0,0,14,33.5,2.4,0.0%
