Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
104,2021,Cethan Carter (MIA),2,2,16,8.0,8,0,0,0,0,0,0,8,1.6,0.2,0.0%
87,2020,Cethan Carter (MIA),5,7,53,10.6,24,2,0,0,0,0,0,15,5.3,0.4,0.0%
86,2019,Cethan Carter (MIA),2,3,13,6.5,8,0,1,0,0,0,0,15,7.3,0.5,0.0%
117,2017,Cethan Carter (MIA),0,1,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
