Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
58,2019,Vernon Davis (FA),10,19,123,12.3,48,3,1,0,0,0,0,4,18.3,4.6,1.6%
25,2018,Vernon Davis (FA),25,36,367,14.7,53,14,2,0,0,0,0,14,50.7,3.6,1.6%
15,2017,Vernon Davis (FA),43,69,648,15.1,69,11,3,0,0,0,2,16,78.8,4.9,1.6%
23,2016,Vernon Davis (FA),44,59,583,13.3,44,11,2,0,0,0,0,16,70.3,4.4,1.6%
37,2015,Vernon Davis (FA),38,58,395,10.4,43,4,0,0,0,0,0,15,39.5,2.6,1.6%
36,2014,Vernon Davis (FA),26,50,245,9.4,29,2,2,1,4,0,0,14,36.9,2.6,1.6%
2,2013,Vernon Davis (FA),52,84,850,16.3,64,16,13,0,0,0,1,15,161.0,10.7,1.6%
15,2012,Vernon Davis (FA),41,61,548,13.4,53,12,5,0,0,0,0,16,84.8,5.3,1.6%
9,2011,Vernon Davis (FA),67,95,792,11.8,44,0,6,2,-5,0,1,16,112.7,7.0,1.6%
3,2010,Vernon Davis (FA),56,93,914,16.3,66,0,7,0,0,0,0,16,135.4,8.5,1.6%
1,2009,Vernon Davis (FA),78,129,965,12.4,73,0,13,0,0,0,0,16,174.5,10.9,1.6%
24,2008,Vernon Davis (FA),31,13,358,11.5,57,0,2,1,11,0,1,16,46.9,2.9,1.6%
10,2007,Vernon Davis (FA),52,2,509,9.8,31,0,4,0,0,0,0,14,74.9,5.4,1.6%
24,2006,Vernon Davis (FA),20,0,265,13.3,52,0,3,2,5,0,0,10,45.0,4.5,1.6%
