Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
77,2021,Chris Herndon IV (FA),4,7,40,10.0,17,0,1,0,0,0,0,6,10.0,1.7,0.0%
34,2020,Chris Herndon IV (FA),31,46,287,9.3,26,3,3,0,0,0,2,16,42.7,2.7,0.0%
112,2019,Chris Herndon IV (FA),1,2,7,7.0,7,0,0,0,0,0,0,2,0.7,0.4,0.0%
15,2018,Chris Herndon IV (FA),39,56,502,12.9,32,10,4,0,0,0,0,16,74.2,4.6,0.0%
