Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
63,2017,Anthony Fasano (FA),12,16,107,8.9,29,2,1,0,0,0,0,16,16.7,1.0,0.1%
56,2016,Anthony Fasano (FA),8,14,83,10.4,17,0,2,0,0,0,0,16,20.3,1.3,0.1%
36,2015,Anthony Fasano (FA),26,42,289,11.1,33,3,2,0,0,0,0,16,40.9,2.6,0.1%
28,2014,Anthony Fasano (FA),25,36,226,9.0,22,2,4,0,0,0,0,15,46.6,3.1,0.1%
44,2013,Anthony Fasano (FA),23,33,200,8.7,20,1,3,0,0,0,0,9,38.0,4.2,0.1%
28,2012,Anthony Fasano (FA),41,69,332,8.1,22,1,5,0,0,0,0,16,65.2,4.1,0.1%
21,2011,Anthony Fasano (FA),32,54,451,14.1,35,0,5,0,0,0,0,15,75.1,5.0,0.1%
18,2010,Anthony Fasano (FA),39,60,528,13.5,31,0,4,0,0,0,0,15,76.8,5.1,0.1%
31,2009,Anthony Fasano (FA),31,53,339,10.9,27,0,2,0,0,0,2,14,41.9,3.0,0.1%
7,2008,Anthony Fasano (FA),34,3,454,13.4,24,0,7,0,0,0,0,16,87.4,5.5,0.1%
40,2007,Anthony Fasano (FA),14,0,143,10.2,26,0,1,0,0,0,0,16,20.3,1.3,0.1%
63,2006,Anthony Fasano (FA),14,0,126,9.0,22,0,0,0,0,0,0,16,12.6,0.8,0.1%
