Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
34,2014,Jay Feely (FA),3,4,75.0,48,0,1,1,1,0,5,5,4,15.0,3.8,0.0%
12,2013,Jay Feely (FA),30,36,83.3,52,0,9,7,11,3,37,37,16,144.0,9.0,0.0%
22,2012,Jay Feely (FA),25,28,89.3,61,0,6,9,8,2,25,25,16,112.0,7.0,0.0%
24,2011,Jay Feely (FA),19,24,79.2,51,0,9,4,5,1,33,33,16,97.0,6.1,0.0%
12,2010,Jay Feely (FA),24,27,88.9,55,0,5,4,7,1,29,29,16,95.5,6.0,0.0%
17,2009,Jay Feely (FA),30,36,83.3,55,0,0,0,0,0,32,32,16,32.0,2.0,0.0%
14,2008,Jay Feely (FA),24,28,85.7,55,0,0,0,0,0,30,30,15,30.0,2.0,0.0%
14,2007,Jay Feely (FA),21,23,91.3,53,0,0,0,0,0,17,17,16,17.0,1.1,0.0%
9,2006,Jay Feely (FA),23,27,85.2,47,0,0,0,0,0,38,38,16,38.0,2.4,0.0%
9,2005,Jay Feely (FA),35,42,83.3,52,0,0,0,0,0,43,43,16,43.0,2.7,0.0%
13,2004,Jay Feely (FA),18,23,78.3,47,0,0,0,0,0,40,40,16,39.8,2.5,0.0%
17,2003,Jay Feely (FA),19,27,70.4,46,0,0,0,0,0,32,32,16,32.0,2.0,0.0%
7,2002,Jay Feely (FA),32,40,80.0,52,0,0,0,0,0,42,42,16,42.0,2.6,0.0%
