Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
2,2021,Nick Folk (NE),36,39,92.3,53,0,9,11,11,5,42,47,17,171.0,10.1,71.7%
18,2020,Nick Folk (NE),26,28,92.9,51,0,6,7,11,2,30,33,16,123.0,7.7,71.7%
32,2019,Nick Folk (NE),14,17,82.4,51,1,5,3,4,1,12,12,7,60.0,8.6,71.7%
36,2017,Nick Folk (NE),6,11,54.5,50,0,2,1,2,1,7,9,4,29.0,7.3,71.7%
21,2016,Nick Folk (NE),27,31,87.1,51,0,12,10,3,2,24,26,16,112.0,7.0,71.7%
33,2015,Nick Folk (NE),13,16,81.3,55,0,2,6,3,2,19,19,8,65.0,8.1,71.7%
13,2014,Nick Folk (NE),32,39,82.1,55,0,13,7,9,3,23,23,16,134.0,8.4,71.7%
11,2013,Nick Folk (NE),33,36,91.7,54,0,8,10,12,3,27,27,16,144.0,9.0,71.7%
26,2012,Nick Folk (NE),21,27,77.8,54,0,7,6,5,3,30,30,16,104.0,6.5,71.7%
19,2011,Nick Folk (NE),19,25,76.0,51,0,5,6,5,3,44,44,16,112.0,7.0,71.7%
7,2010,Nick Folk (NE),30,39,76.9,56,0,7,10,1,2,37,37,16,102.0,6.4,71.7%
13,2009,Nick Folk (NE),18,28,64.3,51,0,0,0,0,0,36,36,14,36.0,2.6,71.7%
19,2008,Nick Folk (NE),20,22,90.9,52,0,0,0,0,0,27,27,16,27.0,1.7,71.7%
2,2007,Nick Folk (NE),26,31,83.9,53,0,0,0,0,0,31,31,16,31.0,1.9,71.7%
