Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
52,2021,Joe Flacco (NYJ),27,42,64.3,338,8.0,3,0,2,2,3,0,1,2,23.8,11.9,0.8%
41,2020,Joe Flacco (NYJ),74,134,55.2,864,6.4,6,3,7,6,22,0,0,5,57.7,11.5,0.8%
33,2019,Joe Flacco (NYJ),171,262,65.3,"1,822",7.0,6,5,26,12,20,0,3,8,89.9,11.2,0.8%
32,2018,Joe Flacco (NYJ),232,379,61.2,"2,465",6.5,12,6,16,19,45,0,1,9,137.0,15.2,0.8%
24,2017,Joe Flacco (NYJ),352,549,64.1,"3,141",5.7,18,13,27,25,54,1,0,16,184.9,11.6,0.8%
20,2016,Joe Flacco (NYJ),436,672,64.9,"4,317",6.4,20,15,33,21,58,2,3,16,242.5,15.2,0.8%
26,2015,Joe Flacco (NYJ),266,413,64.4,"2,791",6.8,14,12,16,13,23,3,2,10,162.1,16.2,0.8%
13,2014,Joe Flacco (NYJ),344,554,62.1,"3,986",7.2,27,12,19,39,70,2,0,16,262.4,16.4,0.8%
19,2013,Joe Flacco (NYJ),362,614,59.0,"3,912",6.4,19,22,48,27,131,1,2,16,207.6,13.0,0.8%
14,2012,Joe Flacco (NYJ),317,531,59.7,"3,817",7.2,22,10,35,32,22,3,4,16,235.1,14.7,0.8%
17,2011,Joe Flacco (NYJ),312,542,57.6,"3,610",6.7,20,12,31,39,88,1,6,16,202.4,12.7,0.8%
10,2010,Joe Flacco (NYJ),306,489,62.6,"3,622",7.4,25,10,40,43,84,1,4,16,231.2,14.5,0.8%
18,2009,Joe Flacco (NYJ),315,499,63.1,"3,613",7.2,21,12,36,35,56,0,2,16,206.2,12.9,0.8%
16,2008,Joe Flacco (NYJ),257,428,60.0,"2,971",6.9,14,12,32,52,180,2,0,16,187.3,11.7,0.8%
