Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
163,2019,Chris Ivory (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
55,2018,Chris Ivory (FA),115,385,3.3,21,2,1,13,21,205,15.8,0,0,13,65.0,5.0,0.0%
58,2017,Chris Ivory (FA),112,382,3.4,34,1,1,21,28,175,8.3,1,2,14,63.7,4.6,0.0%
50,2016,Chris Ivory (FA),117,439,3.8,42,2,3,20,28,186,9.3,0,3,11,74.5,6.8,0.0%
8,2015,Chris Ivory (FA),247,"1,070",4.3,58,9,7,30,37,217,7.2,1,2,15,172.7,11.5,0.0%
19,2014,Chris Ivory (FA),198,821,4.1,71,1,6,18,27,123,6.8,1,1,16,134.4,8.4,0.0%
37,2013,Chris Ivory (FA),182,833,4.6,69,8,3,2,7,10,5.0,0,0,15,102.3,6.8,0.0%
73,2012,Chris Ivory (FA),40,217,5.4,56,3,2,2,3,15,7.5,0,0,6,35.2,5.9,0.0%
69,2011,Chris Ivory (FA),79,374,4.7,35,0,1,0,1,0,0,0,0,6,43.4,7.2,0.0%
35,2010,Chris Ivory (FA),137,716,5.2,55,0,5,1,1,17,17.0,0,2,12,99.3,8.3,0.0%
