Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
72,2021,David Blough (MIN),0,0,0,0,0,0,0,1,1,6,0,0,1,0.6,0.6,0.0%
69,2020,David Blough (MIN),6,10,60.0,49,4.9,0,1,1,1,18,0,0,1,2.8,2.8,0.0%
39,2019,David Blough (MIN),94,174,54.0,984,5.7,4,6,14,8,31,0,0,5,60.4,12.1,0.0%
