Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
49,2011,Kerry Collins (FA),48,98,49.0,481,4.9,2,1,5,2,-1,0,3,3,19.1,6.4,0.0%
28,2010,Kerry Collins (FA),160,278,57.6,"1,823",6.6,14,8,13,10,1,0,3,10,109.1,10.9,0.0%
35,2009,Kerry Collins (FA),119,216,55.1,"1,225",5.7,6,8,6,11,15,1,2,7,60.6,8.7,0.0%
26,2008,Kerry Collins (FA),195,332,58.7,"2,099",6.3,10,6,7,15,17,0,0,12,115.6,9.6,0.0%
51,2007,Kerry Collins (FA),39,66,59.1,427,6.5,0,0,4,0,0,0,0,4,17.1,4.3,0.0%
54,2006,Kerry Collins (FA),42,90,46.7,549,6.1,1,6,4,0,0,0,0,3,16.0,5.3,0.0%
11,2005,Kerry Collins (FA),302,565,53.5,"3,759",6.7,20,12,39,17,39,1,0,15,216.1,14.4,0.0%
17,2004,Kerry Collins (FA),289,513,56.3,"3,495",6.8,21,20,25,16,36,0,3,14,181.3,13.0,0.0%
20,2003,Kerry Collins (FA),284,500,56.8,"3,110",6.2,13,16,28,17,49,0,5,13,141.3,10.9,0.0%
14,2002,Kerry Collins (FA),335,545,61.5,"4,073",7.5,19,14,24,44,-3,0,1,16,210.6,13.2,0.0%
