Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
195,2019,Darius Jennings (FA),2,5,17,8.5,11,0,0,0,0,0,0,8,1.7,0.2,0.0%
157,2018,Darius Jennings (FA),11,15,101,9.2,36,2,0,1,2,0,0,16,11.1,0.7,0.0%
153,2015,Darius Jennings (FA),14,21,117,8.4,16,0,0,0,0,0,0,4,11.7,2.9,0.0%
