Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
74,2019,Mark Sanchez (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
64,2018,Mark Sanchez (FA),19,35,54.3,138,3.9,0,3,7,1,8,0,0,2,0.3,0.2,0.1%
70,2016,Mark Sanchez (FA),10,18,55.6,93,5.2,0,2,3,4,-2,0,0,2,-0.5,-0.3,0.1%
46,2015,Mark Sanchez (FA),59,91,64.8,616,6.8,4,4,9,6,22,0,1,4,32.8,8.2,0.1%
27,2014,Mark Sanchez (FA),198,309,64.1,"2,418",7.8,14,11,23,34,87,1,3,9,139.5,15.5,0.1%
30,2012,Mark Sanchez (FA),246,453,54.3,"2,883",6.4,13,18,34,22,28,0,8,15,117.9,7.9,0.1%
10,2011,Mark Sanchez (FA),308,543,56.7,"3,474",6.4,26,18,39,37,103,6,8,16,237.2,14.8,0.1%
18,2010,Mark Sanchez (FA),278,507,54.8,"3,291",6.5,17,13,27,30,105,3,1,16,202.0,12.6,0.1%
25,2009,Mark Sanchez (FA),196,364,53.8,"2,444",6.7,12,20,26,36,106,3,3,15,132.3,8.8,0.1%
