Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
74,2017,Kellen Clemens (FA),6,8,75.0,36,4.5,0,1,0,5,-5,0,0,8,-1.1,-0.1,0.0%
68,2016,Kellen Clemens (FA),0,1,0.0,0,0.0,0,0,0,2,-1,0,0,12,-0.1,-0.0,0.0%
60,2015,Kellen Clemens (FA),5,6,83.3,63,10.5,1,0,0,1,-1,0,0,2,6.4,3.2,0.0%
67,2014,Kellen Clemens (FA),1,3,33.3,10,3.3,0,0,1,0,0,0,0,2,0.4,0.2,0.0%
38,2013,Kellen Clemens (FA),142,242,58.7,"1,673",6.9,8,7,21,23,64,0,4,10,85.3,8.5,0.0%
63,2012,Kellen Clemens (FA),1,3,33.3,39,13.0,0,1,0,2,5,0,0,2,0.1,0.1,0.0%
44,2011,Kellen Clemens (FA),48,91,52.7,546,6.0,2,1,9,6,37,1,0,3,37.5,12.5,0.0%
57,2010,Kellen Clemens (FA),1,2,50.0,6,3.0,0,0,0,2,9,1,0,1,7.1,7.1,0.0%
60,2009,Kellen Clemens (FA),13,26,50.0,125,4.8,0,0,4,12,1,0,0,10,5.1,0.5,0.0%
73,2008,Kellen Clemens (FA),3,5,60.0,26,5.2,0,1,0,3,-3,0,0,2,-1.3,-0.7,0.0%
24,2007,Kellen Clemens (FA),130,250,52.0,"1,529",6.1,5,10,27,27,111,1,0,10,78.2,7.8,0.0%
67,2006,Kellen Clemens (FA),0,1,0.0,0,0.0,0,0,4,2,10,0,0,2,1.0,0.5,0.0%
