Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
52,2021,James O'Shaughnessy (FA),24,34,244,10.2,30,6,0,0,0,0,0,7,26.4,3.8,0.1%
54,2020,James O'Shaughnessy (FA),28,38,262,9.4,26,3,0,0,0,0,0,15,26.2,1.7,0.1%
46,2019,James O'Shaughnessy (FA),14,20,153,10.9,35,2,2,0,0,0,0,5,27.3,5.5,0.1%
58,2018,James O'Shaughnessy (FA),24,38,214,8.9,17,0,0,0,0,0,0,14,21.4,1.5,0.1%
57,2017,James O'Shaughnessy (FA),14,24,149,10.6,29,1,1,0,0,0,0,16,20.9,1.3,0.1%
144,2016,James O'Shaughnessy (FA),2,3,-1,-0.5,0,0,0,0,0,0,0,16,-0.1,-0.0,0.1%
81,2015,James O'Shaughnessy (FA),6,9,87,14.5,30,2,0,0,0,0,0,7,8.7,1.2,0.1%
