Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
171,2019,Jonathan Stewart (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
138,2018,Jonathan Stewart (FA),6,17,2.8,5,0,0,0,0,0,0,0,0,3,1.7,0.6,0.0%
35,2017,Jonathan Stewart (FA),198,680,3.4,60,1,6,8,15,52,6.5,1,3,15,109.2,7.3,0.0%
23,2016,Jonathan Stewart (FA),218,824,3.8,47,6,9,8,21,60,7.5,0,2,13,138.4,10.6,0.0%
16,2015,Jonathan Stewart (FA),242,989,4.1,44,4,6,16,21,99,6.2,1,2,13,146.8,11.3,0.0%
24,2014,Jonathan Stewart (FA),175,809,4.6,69,4,3,25,31,181,7.2,1,1,13,121.0,9.3,0.0%
90,2013,Jonathan Stewart (FA),48,180,3.8,16,0,0,7,7,44,6.3,0,0,6,22.4,3.7,0.0%
53,2012,Jonathan Stewart (FA),93,336,3.6,21,2,1,17,23,157,9.2,1,0,9,61.3,6.8,0.0%
24,2011,Jonathan Stewart (FA),142,761,5.4,32,0,4,47,61,413,8.8,1,0,16,147.4,9.2,0.0%
36,2010,Jonathan Stewart (FA),178,770,4.3,48,0,2,8,14,103,12.9,1,4,14,97.3,7.0,0.0%
11,2009,Jonathan Stewart (FA),221,"1,133",5.1,67,0,10,18,26,139,7.7,1,2,16,189.2,11.8,0.0%
21,2008,Jonathan Stewart (FA),184,836,4.5,41,0,10,8,1,47,5.9,0,0,16,148.3,9.3,0.0%
