Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
59,2016,Tony Romo (FA),3,4,75.0,29,7.3,1,0,0,0,0,0,0,1,5.2,5.2,0.1%
42,2015,Tony Romo (FA),83,121,68.6,884,7.3,5,7,6,4,13,0,1,4,40.6,10.2,0.1%
11,2014,Tony Romo (FA),304,435,69.9,"3,705",8.5,34,9,29,26,61,0,3,15,266.4,17.8,0.1%
10,2013,Tony Romo (FA),342,535,63.9,"3,828",7.2,31,10,35,20,38,0,1,15,260.8,17.4,0.1%
8,2012,Tony Romo (FA),425,648,65.6,"4,903",7.6,28,19,36,30,49,1,3,16,278.7,17.4,0.1%
7,2011,Tony Romo (FA),346,522,66.3,"4,184",8.0,31,10,36,22,46,1,3,16,276.0,17.3,0.1%
29,2010,Tony Romo (FA),148,213,69.5,"1,605",7.5,11,7,7,6,38,0,0,6,99.2,16.5,0.1%
6,2009,Tony Romo (FA),347,550,63.1,"4,483",8.2,26,9,34,35,105,1,4,16,273.7,17.1,0.1%
8,2008,Tony Romo (FA),276,450,61.3,"3,448",7.7,26,14,20,28,41,0,0,13,217.9,16.8,0.1%
2,2007,Tony Romo (FA),335,520,64.4,"4,211",8.1,36,19,24,31,129,2,0,16,299.6,18.7,0.1%
16,2006,Tony Romo (FA),220,337,65.3,"2,903",8.6,19,13,21,34,102,0,0,15,180.3,12.0,0.1%
81,2005,Tony Romo (FA),0,0,0,0,0,0,0,0,2,-2,0,0,15,-0.2,-0.0,0.1%
76,2004,Tony Romo (FA),0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.1%
