Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
98,2014,Brandon Lloyd (FA),14,35,294,21.0,80,5,1,0,0,0,0,14,35.4,2.5,0.0%
34,2012,Brandon Lloyd (FA),74,130,911,12.3,53,10,4,0,0,0,0,16,115.1,7.2,0.0%
25,2011,Brandon Lloyd (FA),70,148,966,13.8,44,0,5,0,0,0,0,15,126.6,8.4,0.0%
1,2010,Brandon Lloyd (FA),77,153,"1,448",18.8,71,0,11,1,-18,0,0,16,209.0,13.1,0.0%
120,2009,Brandon Lloyd (FA),8,18,117,14.6,44,0,0,0,0,0,0,2,11.7,5.9,0.0%
72,2008,Brandon Lloyd (FA),26,13,364,14.0,32,0,2,0,0,0,0,11,48.4,4.4,0.0%
139,2007,Brandon Lloyd (FA),2,0,14,7.0,9,0,0,0,0,0,0,8,1.4,0.2,0.0%
91,2006,Brandon Lloyd (FA),23,0,365,15.9,52,0,0,0,0,0,0,15,36.5,2.4,0.0%
34,2005,Brandon Lloyd (FA),48,7,733,15.3,89,0,5,0,0,0,0,16,103.3,6.5,0.0%
43,2004,Brandon Lloyd (FA),43,89,565,13.1,52,0,6,0,0,0,0,13,94.5,7.3,0.0%
93,2003,Brandon Lloyd (FA),14,30,212,15.1,44,0,2,0,0,0,0,13,35.2,2.7,0.0%
