Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
99,2021,Demarcus Robinson (BAL),25,41,264,10.6,33,4,3,0,0,0,0,15,44.4,3.0,0.4%
78,2020,Demarcus Robinson (BAL),45,59,466,10.4,28,7,3,0,0,0,1,15,62.6,4.2,0.4%
67,2019,Demarcus Robinson (BAL),32,55,449,14.0,44,12,4,0,0,0,0,16,68.9,4.3,0.4%
84,2018,Demarcus Robinson (BAL),22,33,288,13.1,89,7,4,0,0,0,0,16,52.8,3.3,0.4%
121,2017,Demarcus Robinson (BAL),21,39,212,10.1,33,1,0,0,0,0,0,16,21.2,1.3,0.4%
215,2016,Demarcus Robinson (BAL),0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.4%
