Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
36,2005,Doug Brien (FA),1,4,25.0,48,0,0,0,0,0,7,7,3,7.0,2.3,0.0%
18,2004,Doug Brien (FA),24,29,82.8,53,0,0,0,0,0,33,34,16,33.0,2.1,0.0%
27,2003,Doug Brien (FA),27,32,84.4,48,0,0,0,0,0,24,24,16,24.0,1.5,0.0%
37,2002,Doug Brien (FA),5,6,83.3,42,0,0,0,0,0,5,7,6,5.0,0.8,0.0%
