Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
35,2021,Andy Dalton (NO),149,236,63.1,"1,515",6.4,8,9,18,16,76,0,1,8,93.1,11.6,0.1%
31,2020,Andy Dalton (NO),216,333,64.9,"2,170",6.5,14,8,24,28,114,0,1,11,143.9,13.1,0.1%
25,2019,Andy Dalton (NO),314,528,59.5,"3,494",6.6,16,14,37,32,73,4,4,13,216.5,16.7,0.1%
25,2018,Andy Dalton (NO),226,365,61.9,"2,566",7.0,21,11,21,16,99,0,0,11,174.5,15.9,0.1%
17,2017,Andy Dalton (NO),297,496,59.9,"3,320",6.7,25,12,39,38,99,0,4,16,210.7,13.2,0.1%
12,2016,Andy Dalton (NO),364,563,64.7,"4,206",7.5,18,8,41,46,184,4,3,16,260.6,16.3,0.1%
18,2015,Andy Dalton (NO),255,386,66.1,"3,250",8.4,25,7,20,57,142,3,2,13,244.2,18.8,0.1%
18,2014,Andy Dalton (NO),309,481,64.2,"3,398",7.1,19,17,21,60,169,4,2,16,224.5,14.0,0.1%
5,2013,Andy Dalton (NO),363,586,61.9,"4,293",7.3,33,20,29,61,183,2,3,16,288.0,18.0,0.1%
12,2012,Andy Dalton (NO),329,528,62.3,"3,669",6.9,27,16,46,47,120,4,4,16,250.7,15.7,0.1%
15,2011,Andy Dalton (NO),300,516,58.1,"3,398",6.6,20,13,24,37,152,1,2,16,207.3,13.0,0.1%
