Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
61,2019,Josh McCown (FA),3,5,60.0,24,4.8,0,0,0,2,-2,0,0,3,0.8,0.3,0.0%
48,2018,Josh McCown (FA),60,110,54.5,539,4.9,1,4,7,5,32,0,0,4,20.7,5.2,0.0%
21,2017,Josh McCown (FA),267,397,67.3,"2,926",7.4,18,9,39,37,124,5,4,13,205.6,15.8,0.0%
38,2016,Josh McCown (FA),90,165,54.5,"1,100",6.7,6,6,18,7,21,0,4,5,52.1,10.4,0.0%
27,2015,Josh McCown (FA),186,292,63.7,"2,109",7.2,12,4,23,20,98,1,6,8,132.1,16.5,0.0%
28,2014,Josh McCown (FA),184,327,56.3,"2,206",6.7,11,14,36,25,127,3,4,11,126.9,11.5,0.0%
27,2013,Josh McCown (FA),149,224,66.5,"1,829",8.2,13,1,11,13,69,1,1,8,136.1,17.0,0.0%
47,2011,Josh McCown (FA),35,55,63.6,414,7.5,2,4,7,12,68,0,0,3,25.4,8.5,0.0%
68,2009,Josh McCown (FA),1,6,16.7,2,0.3,0,0,1,0,0,0,0,1,0.1,0.1,0.0%
71,2008,Josh McCown (FA),0,0,0,0,0,0,0,0,4,-3,0,0,2,-0.3,-0.2,0.0%
23,2007,Josh McCown (FA),111,190,58.4,"1,151",6.1,10,11,14,29,143,0,0,9,80.2,8.9,0.0%
65,2006,Josh McCown (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0.8,0.0%
29,2005,Josh McCown (FA),163,270,60.4,"1,836",6.8,9,11,18,29,139,0,0,9,101.4,11.3,0.0%
26,2004,Josh McCown (FA),233,408,57.1,"2,511",6.2,11,10,31,36,112,2,5,14,139.1,9.9,0.0%
36,2003,Josh McCown (FA),95,166,57.2,"1,018",6.1,5,6,25,28,158,1,2,8,66.6,8.3,0.0%
76,2002,Josh McCown (FA),7,18,38.9,66,3.7,0,2,5,1,20,0,1,2,-1.4,-0.7,0.0%
