Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
55,2018,Derek Anderson (FA),42,70,60.0,465,6.6,0,4,5,1,-1,0,2,2,6.5,3.3,0.0%
65,2017,Derek Anderson (FA),2,8,25.0,17,2.1,0,0,0,2,-2,0,0,3,0.5,0.2,0.0%
48,2016,Derek Anderson (FA),36,53,67.9,453,8.5,2,5,0,1,4,0,1,6,16.5,2.8,0.0%
64,2015,Derek Anderson (FA),4,6,66.7,36,6.0,0,0,0,7,-2,0,0,3,1.2,0.4,0.0%
42,2014,Derek Anderson (FA),65,97,67.0,701,7.2,5,0,4,8,24,0,0,6,50.4,8.4,0.0%
61,2013,Derek Anderson (FA),0,0,0,0,0,0,0,0,5,0,0,0,4,0.0,0.0,0.0%
55,2012,Derek Anderson (FA),4,4,100.0,58,14.5,0,0,0,0,0,0,0,2,2.3,1.2,0.0%
74,2011,Derek Anderson (FA),0,0,0,0,0,0,0,0,2,-2,0,0,2,-0.2,-0.1,0.0%
32,2010,Derek Anderson (FA),169,327,51.7,"2,065",6.3,7,10,25,5,25,0,3,12,89.1,7.4,0.0%
44,2009,Derek Anderson (FA),81,182,44.5,888,4.9,3,10,11,10,8,2,3,8,34.3,4.3,0.0%
30,2008,Derek Anderson (FA),142,283,50.2,"1,615",5.7,9,8,14,25,55,0,0,10,94.0,9.4,0.0%
6,2007,Derek Anderson (FA),298,527,56.5,"3,787",7.2,29,19,14,32,70,3,0,16,256.6,16.0,0.0%
45,2006,Derek Anderson (FA),66,117,56.4,793,6.8,5,8,8,4,47,0,0,5,40.3,8.1,0.0%
