Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
109,2020,LeSean McCoy (FA),10,31,3.1,14,0,0,15,19,101,6.7,0,0,10,13.2,1.3,2.0%
41,2019,LeSean McCoy (FA),101,465,4.6,39,6,4,28,34,181,6.5,1,2,13,90.6,7.0,2.0%
40,2018,LeSean McCoy (FA),161,514,3.2,28,3,3,34,46,238,7.0,0,0,14,93.2,6.7,2.0%
7,2017,LeSean McCoy (FA),287,"1,138",4.0,48,12,6,59,77,448,7.6,2,1,16,204.6,12.8,2.0%
3,2016,LeSean McCoy (FA),234,"1,267",5.4,75,11,13,50,57,356,7.1,1,0,15,248.3,16.6,2.0%
17,2015,LeSean McCoy (FA),203,895,4.4,48,6,3,32,50,292,9.1,2,2,12,146.7,12.2,2.0%
12,2014,LeSean McCoy (FA),312,"1,319",4.2,53,9,5,28,37,155,5.5,0,3,16,171.4,10.7,2.0%
2,2013,LeSean McCoy (FA),314,"1,607",5.1,57,9,9,52,64,539,10.4,2,1,16,278.6,17.4,2.0%
21,2012,LeSean McCoy (FA),200,840,4.2,34,7,2,54,67,373,6.9,3,3,12,145.3,12.1,2.0%
2,2011,LeSean McCoy (FA),273,"1,309",4.8,60,0,17,48,69,315,6.6,3,1,15,280.4,18.7,2.0%
7,2010,LeSean McCoy (FA),207,"1,080",5.2,62,0,7,78,90,592,7.6,2,1,15,219.2,14.6,2.0%
35,2009,LeSean McCoy (FA),155,637,4.1,66,0,4,40,55,308,7.7,0,1,16,118.5,7.4,2.0%
