Rank,year,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
35,2015,Matt Hasselbeck (FA),156,256,60.9,"1,690",6.6,9,5,16,16,15,0,2,8,91.2,11.4,0.0%
50,2014,Matt Hasselbeck (FA),30,44,68.2,301,6.8,2,0,2,8,-11,0,1,4,16.9,4.2,0.0%
57,2013,Matt Hasselbeck (FA),7,12,58.3,130,10.8,0,1,0,2,-2,0,0,3,3.0,1.0,0.0%
36,2012,Matt Hasselbeck (FA),138,221,62.4,"1,367",6.2,7,5,14,13,38,0,1,8,76.4,9.6,0.0%
18,2011,Matt Hasselbeck (FA),319,518,61.6,"3,571",6.9,18,14,19,20,52,0,1,16,190.2,11.9,0.0%
26,2010,Matt Hasselbeck (FA),266,444,59.9,"3,001",6.8,12,17,29,23,60,3,5,14,148.0,10.6,0.0%
21,2009,Matt Hasselbeck (FA),293,488,60.0,"3,029",6.2,17,17,32,26,119,0,3,14,161.1,11.5,0.0%
35,2008,Matt Hasselbeck (FA),109,209,52.2,"1,216",5.8,5,10,19,11,69,0,0,7,55.6,7.9,0.0%
7,2007,Matt Hasselbeck (FA),352,562,62.6,"3,966",7.1,28,12,33,39,89,0,1,16,253.6,15.9,0.0%
22,2006,Matt Hasselbeck (FA),210,371,56.6,"2,442",6.6,18,15,34,18,110,0,0,12,152.6,12.7,0.0%
4,2005,Matt Hasselbeck (FA),294,449,65.5,"3,459",7.7,24,9,24,36,124,1,0,16,234.6,14.7,0.0%
13,2004,Matt Hasselbeck (FA),279,474,58.9,"3,382",7.1,22,15,30,27,90,1,1,14,210.3,15.0,0.0%
4,2003,Matt Hasselbeck (FA),313,513,61.0,"3,841",7.5,26,15,42,36,125,2,1,16,250.1,15.6,0.0%
18,2002,Matt Hasselbeck (FA),267,419,63.7,"3,075",7.3,15,10,26,40,202,1,4,13,183.2,14.1,0.0%
