Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
98,2017,Chris Johnson (FA),45,114,2.5,11,0,0,5,6,43,8.6,0,0,4,15.7,3.9,0.6%
103,2016,Chris Johnson (FA),25,95,3.8,18,0,1,0,1,0,0,0,0,4,15.5,3.9,0.6%
35,2015,Chris Johnson (FA),196,814,4.2,62,6,3,6,13,58,9.7,0,2,11,101.2,9.2,0.6%
34,2014,Chris Johnson (FA),155,663,4.3,47,4,1,24,34,151,6.3,1,1,16,91.4,5.7,0.6%
9,2013,Chris Johnson (FA),279,"1,077",3.9,30,5,6,42,52,345,8.2,4,2,16,198.2,12.4,0.6%
13,2012,Chris Johnson (FA),276,"1,243",4.5,94,8,6,36,49,232,6.4,0,4,16,175.5,11.0,0.6%
16,2011,Chris Johnson (FA),262,"1,047",4.0,48,0,4,57,79,418,7.3,0,1,16,168.5,10.5,0.6%
5,2010,Chris Johnson (FA),316,"1,364",4.3,76,0,11,44,57,245,5.6,1,2,16,228.9,14.3,0.6%
1,2009,Chris Johnson (FA),358,"2,006",5.6,91,0,14,50,71,503,10.1,2,3,16,342.9,21.4,0.6%
5,2008,Chris Johnson (FA),251,"1,228",4.9,66,0,9,43,2,260,6.0,1,0,15,208.8,13.9,0.6%
