Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
12,2021,Diontae Johnson (PIT),107,169,"1,161",10.9,50,27,8,5,53,0,2,16,167.4,10.5,98.0%
26,2020,Diontae Johnson (PIT),88,144,923,10.5,47,19,7,3,15,0,1,15,133.8,8.9,98.0%
40,2019,Diontae Johnson (PIT),59,92,680,11.5,45,13,5,4,41,0,2,16,104.1,6.5,98.0%
