Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
156,2012,Jabar Gaffney (FA),4,10,68,17.0,30,1,0,0,0,0,0,3,6.8,2.3,0.0%
26,2011,Jabar Gaffney (FA),68,115,947,13.9,45,0,5,0,0,0,1,16,122.7,7.7,0.0%
42,2010,Jabar Gaffney (FA),65,112,875,13.5,50,0,2,0,0,0,0,16,99.5,6.2,0.0%
50,2009,Jabar Gaffney (FA),54,87,732,13.6,49,0,2,0,0,0,0,16,85.2,5.3,0.0%
68,2008,Jabar Gaffney (FA),32,6,417,13.0,37,0,1,0,0,0,0,11,49.7,4.5,0.0%
95,2007,Jabar Gaffney (FA),12,0,98,8.2,21,0,1,0,0,0,0,7,15.8,2.3,0.0%
102,2006,Jabar Gaffney (FA),11,0,142,12.9,33,0,1,0,0,0,0,7,20.2,2.9,0.0%
64,2005,Jabar Gaffney (FA),55,14,492,8.9,29,0,2,4,13,0,0,14,62.5,4.5,0.0%
49,2004,Jabar Gaffney (FA),41,68,632,15.4,69,0,2,4,30,0,1,15,76.2,5.1,0.0%
79,2003,Jabar Gaffney (FA),34,57,402,11.8,33,0,2,1,13,0,0,14,53.5,3.8,0.0%
70,2002,Jabar Gaffney (FA),41,81,483,11.8,27,0,1,0,0,0,1,16,59.9,3.7,0.0%
