Rank,year,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
157,2016,Daryl Richardson (FA),2,7,3.5,6,0,0,0,0,0,0,0,0,3,0.7,0.2,0.0%
79,2013,Daryl Richardson (FA),69,215,3.1,14,0,0,14,18,121,8.6,0,0,8,33.6,4.2,0.0%
52,2012,Daryl Richardson (FA),98,475,4.8,53,4,0,24,36,163,6.8,0,2,16,61.8,3.9,0.0%
