Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
23,2015,Heath Miller (FA),60,81,535,8.9,27,5,2,1,2,0,0,15,67.7,4.5,0.0%
11,2014,Heath Miller (FA),66,91,761,11.5,49,8,3,0,0,0,1,16,94.1,5.9,0.0%
27,2013,Heath Miller (FA),58,78,593,10.2,31,8,1,0,0,0,1,14,63.3,4.5,0.0%
4,2012,Heath Miller (FA),71,101,816,11.5,43,11,8,0,0,0,0,15,131.6,8.8,0.0%
22,2011,Heath Miller (FA),51,75,631,12.4,39,0,2,1,6,0,1,16,73.7,4.6,0.0%
26,2010,Heath Miller (FA),42,67,512,12.2,36,0,2,0,0,0,1,14,61.2,4.4,0.0%
9,2009,Heath Miller (FA),76,98,789,10.4,41,0,6,0,0,0,0,16,114.9,7.2,0.0%
14,2008,Heath Miller (FA),48,7,514,10.7,22,0,3,0,0,0,0,14,69.4,5.0,0.0%
6,2007,Heath Miller (FA),47,0,566,12.0,29,0,7,0,0,0,0,16,98.6,6.2,0.0%
13,2006,Heath Miller (FA),34,0,393,11.6,87,0,5,0,0,0,0,15,69.3,4.6,0.0%
13,2005,Heath Miller (FA),39,12,459,11.8,50,0,6,0,0,0,0,14,81.9,5.9,0.0%
