Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
135,2019,Antonio Gates (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%
27,2018,Antonio Gates (FA),28,45,333,11.9,27,5,2,0,0,0,1,16,47.3,3.0,0.2%
29,2017,Antonio Gates (FA),30,52,316,10.5,27,3,3,0,0,0,0,16,49.6,3.1,0.2%
10,2016,Antonio Gates (FA),53,93,548,10.3,27,5,7,0,0,0,1,14,94.8,6.8,0.2%
11,2015,Antonio Gates (FA),56,85,630,11.3,40,5,5,0,0,0,0,11,93.0,8.5,0.2%
2,2014,Antonio Gates (FA),69,98,821,11.9,34,12,12,0,0,0,0,16,154.1,9.6,0.2%
9,2013,Antonio Gates (FA),77,113,872,11.3,56,11,4,0,0,0,2,16,107.2,6.7,0.2%
12,2012,Antonio Gates (FA),49,80,538,11.0,34,5,7,0,0,0,0,15,95.8,6.4,0.2%
8,2011,Antonio Gates (FA),64,88,778,12.2,38,0,7,0,0,0,0,13,119.8,9.2,0.2%
2,2010,Antonio Gates (FA),50,65,782,15.6,48,0,10,0,0,0,0,10,138.2,13.8,0.2%
3,2009,Antonio Gates (FA),79,114,"1,157",14.6,56,0,8,0,0,0,0,16,163.7,10.2,0.2%
4,2008,Antonio Gates (FA),60,6,704,11.7,34,0,8,0,0,0,1,16,116.4,7.3,0.2%
2,2007,Antonio Gates (FA),75,11,984,13.1,49,0,9,0,0,0,0,16,152.4,9.5,0.2%
1,2006,Antonio Gates (FA),71,0,924,13.0,57,0,9,0,0,0,0,16,146.4,9.2,0.2%
1,2005,Antonio Gates (FA),89,9,"1,101",12.4,38,0,10,0,0,0,0,15,170.1,11.3,0.2%
1,2004,Antonio Gates (FA),81,114,964,11.9,72,0,13,0,0,0,0,15,174.4,11.6,0.2%
20,2003,Antonio Gates (FA),24,42,389,16.2,48,0,2,0,0,0,1,14,48.9,3.5,0.2%
