Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
27,2016,Andrew Franks (FA),16,21,76.2,55,0,8,6,1,1,41,42,16,92.0,5.8,0.0%
30,2015,Andrew Franks (FA),13,16,81.3,53,1,3,4,4,1,33,36,16,78.0,4.9,0.0%
