Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
32,2007,Jeff Wilkins (FA),14,20,70.0,53,0,0,0,0,0,7,7,8,7.0,0.9,0.0%
13,2006,Jeff Wilkins (FA),32,37,86.5,53,0,0,0,0,0,35,35,16,35.0,2.2,0.0%
12,2005,Jeff Wilkins (FA),27,31,87.1,53,0,0,0,0,0,36,36,16,35.6,2.2,0.0%
19,2004,Jeff Wilkins (FA),19,24,79.2,53,0,0,0,0,0,32,32,16,31.5,2.0,0.0%
5,2003,Jeff Wilkins (FA),39,42,92.9,53,0,0,0,0,0,46,46,16,46.7,2.9,0.0%
10,2002,Jeff Wilkins (FA),19,25,76.0,47,0,0,0,0,0,37,37,16,37.0,2.3,0.0%
