Rank,year,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
166,2019,Brian Parker (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
105,2018,Brian Parker (FA),5,10,33,6.6,11,0,0,0,0,0,0,13,3.3,0.3,0.0%
104,2015,Brian Parker (FA),1,2,6,6.0,6,0,0,0,0,0,0,9,0.6,0.1,0.0%
